resume_id,n_skills,n_skill_communities,dominant_skill_community,dominant_skill_community_count,dominant_skill_community_share,skill_community_entropy,skill_community_entropy_normalized
R_000235,8,4,7,4,0.5,1.2130075659799042,0.875
R_000236,5,1,3,5,1.0,-0.0,0.0
R_000237,6,1,4,6,1.0,-0.0,0.0
R_000238,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000239,7,1,4,7,1.0,-0.0,0.0
R_000240,5,1,1,5,1.0,-0.0,0.0
R_000241,5,1,2,5,1.0,-0.0,0.0
R_000242,5,1,2,5,1.0,-0.0,0.0
R_000243,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000244,7,2,7,5,0.7142857142857143,0.5982695885852573,0.8631205685666311
R_000245,7,1,5,7,1.0,-0.0,0.0
R_000246,7,1,3,7,1.0,-0.0,0.0
R_000247,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000248,7,1,1,7,1.0,-0.0,0.0
R_000249,6,2,7,4,0.6666666666666666,0.6365141682948128,0.9182958340544894
R_000250,5,1,3,5,1.0,-0.0,0.0
R_000251,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000252,8,1,0,8,1.0,-0.0,0.0
R_000253,6,1,2,6,1.0,-0.0,0.0
R_000254,6,1,0,6,1.0,-0.0,0.0
R_000255,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000256,5,1,6,5,1.0,-0.0,0.0
R_000257,8,1,1,8,1.0,-0.0,0.0
R_000258,6,1,0,6,1.0,-0.0,0.0
R_000259,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000260,7,3,6,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000261,5,1,4,5,1.0,-0.0,0.0
R_000262,8,1,3,8,1.0,-0.0,0.0
R_000263,6,1,3,6,1.0,-0.0,0.0
R_000264,6,1,3,6,1.0,-0.0,0.0
R_000265,7,3,7,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000266,5,1,0,5,1.0,-0.0,0.0
R_000267,8,4,7,4,0.5,1.2130075659799042,0.875
R_000268,6,1,2,6,1.0,-0.0,0.0
R_000269,8,1,4,8,1.0,-0.0,0.0
R_000270,7,3,6,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000271,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000272,7,1,4,7,1.0,-0.0,0.0
R_000273,7,1,3,7,1.0,-0.0,0.0
R_000274,7,1,1,7,1.0,-0.0,0.0
R_000275,8,1,0,8,1.0,-0.0,0.0
R_000276,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000277,8,1,1,8,1.0,-0.0,0.0
R_000278,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000279,5,1,3,5,1.0,-0.0,0.0
R_000280,8,1,2,8,1.0,-0.0,0.0
R_000281,6,1,5,6,1.0,-0.0,0.0
R_000282,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000283,8,1,0,8,1.0,-0.0,0.0
R_000284,5,1,1,5,1.0,-0.0,0.0
R_000285,8,1,0,8,1.0,-0.0,0.0
R_000286,5,1,2,5,1.0,-0.0,0.0
R_000287,7,3,6,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000288,5,3,7,3,0.6,0.9502705392332347,0.8649735207179272
R_000289,7,1,0,7,1.0,-0.0,0.0
R_000290,8,1,1,8,1.0,-0.0,0.0
R_000291,5,1,1,5,1.0,-0.0,0.0
R_000292,8,1,3,8,1.0,-0.0,0.0
R_000293,7,1,2,7,1.0,-0.0,0.0
R_000294,7,1,3,7,1.0,-0.0,0.0
R_000295,8,4,7,4,0.5,1.2130075659799042,0.875
R_000296,6,1,4,6,1.0,-0.0,0.0
R_000297,6,1,3,6,1.0,-0.0,0.0
R_000298,6,3,7,3,0.5,1.0114042647073518,0.920619835714305
R_000299,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000300,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000301,8,1,0,8,1.0,-0.0,0.0
R_000302,7,4,7,3,0.42857142857142855,1.277034259466139,0.9211854965885543
R_000303,6,1,1,6,1.0,-0.0,0.0
R_000304,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000305,6,1,3,6,1.0,-0.0,0.0
R_000306,6,1,3,6,1.0,-0.0,0.0
R_000307,5,1,1,5,1.0,-0.0,0.0
R_000308,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000309,8,1,2,8,1.0,-0.0,0.0
R_000310,5,1,3,5,1.0,-0.0,0.0
R_000311,7,1,4,7,1.0,-0.0,0.0
R_000312,7,1,2,7,1.0,-0.0,0.0
R_000313,8,1,4,8,1.0,-0.0,0.0
R_000314,8,1,3,8,1.0,-0.0,0.0
R_000315,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000316,6,1,3,6,1.0,-0.0,0.0
R_000317,8,1,2,8,1.0,-0.0,0.0
R_000318,8,2,6,7,0.875,0.37677016125643675,0.5435644431995964
R_000319,8,1,1,8,1.0,-0.0,0.0
R_000320,5,4,7,2,0.4,1.3321790402101223,0.9609640474436812
R_000321,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000322,7,1,4,7,1.0,-0.0,0.0
R_000323,5,1,1,5,1.0,-0.0,0.0
R_000324,7,1,4,7,1.0,-0.0,0.0
R_000325,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000326,7,1,3,7,1.0,-0.0,0.0
R_000327,6,1,0,6,1.0,-0.0,0.0
R_000328,8,1,2,8,1.0,-0.0,0.0
R_000329,5,1,3,5,1.0,-0.0,0.0
R_000330,6,1,3,6,1.0,-0.0,0.0
R_000331,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000332,6,1,6,6,1.0,-0.0,0.0
R_000333,5,1,2,5,1.0,-0.0,0.0
R_000334,6,1,5,6,1.0,-0.0,0.0
R_000335,5,1,7,5,1.0,-0.0,0.0
R_000336,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000337,5,1,4,5,1.0,-0.0,0.0
R_000338,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000339,7,3,6,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000340,6,1,2,6,1.0,-0.0,0.0
R_000341,6,1,3,6,1.0,-0.0,0.0
R_000342,7,1,0,7,1.0,-0.0,0.0
R_000343,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000344,5,2,7,4,0.8,0.5004024235381879,0.7219280948873623
R_000345,7,1,0,7,1.0,-0.0,0.0
R_000346,6,1,4,6,1.0,-0.0,0.0
R_000347,7,1,2,7,1.0,-0.0,0.0
R_000348,7,1,3,7,1.0,-0.0,0.0
R_000349,6,1,0,6,1.0,-0.0,0.0
R_000350,5,1,5,5,1.0,-0.0,0.0
R_000351,7,1,1,7,1.0,-0.0,0.0
R_000352,5,3,6,3,0.6,0.9502705392332347,0.8649735207179272
R_000353,6,1,3,6,1.0,-0.0,0.0
R_000354,7,1,1,7,1.0,-0.0,0.0
R_000355,6,1,2,6,1.0,-0.0,0.0
R_000356,5,1,0,5,1.0,-0.0,0.0
R_000357,7,1,3,7,1.0,-0.0,0.0
R_000358,7,1,2,7,1.0,-0.0,0.0
R_000359,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000360,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000361,6,1,3,6,1.0,-0.0,0.0
R_000362,5,1,0,5,1.0,-0.0,0.0
R_000363,8,1,4,8,1.0,-0.0,0.0
R_000364,5,1,0,5,1.0,-0.0,0.0
R_000365,8,1,2,8,1.0,-0.0,0.0
R_000366,8,1,0,8,1.0,-0.0,0.0
R_000367,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000368,7,1,5,7,1.0,-0.0,0.0
R_000369,8,2,6,7,0.875,0.37677016125643675,0.5435644431995964
R_000370,6,1,5,6,1.0,-0.0,0.0
R_000371,6,4,2,2,0.3333333333333333,1.3296613488547582,0.9591479170272448
R_000372,6,4,7,3,0.5,1.242453324894,0.8962406251802889
R_000373,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000374,7,1,3,7,1.0,-0.0,0.0
R_000375,7,2,7,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000376,7,1,0,7,1.0,-0.0,0.0
R_000377,8,2,6,7,0.875,0.37677016125643675,0.5435644431995964
R_000378,7,1,1,7,1.0,-0.0,0.0
R_000379,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000380,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000381,6,1,1,6,1.0,-0.0,0.0
R_000382,5,1,0,5,1.0,-0.0,0.0
R_000383,7,1,4,7,1.0,-0.0,0.0
R_000384,7,1,1,7,1.0,-0.0,0.0
R_000385,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000386,6,1,2,6,1.0,-0.0,0.0
R_000387,8,1,4,8,1.0,-0.0,0.0
R_000388,8,1,2,8,1.0,-0.0,0.0
R_000389,5,1,2,5,1.0,-0.0,0.0
R_000390,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000391,8,1,3,8,1.0,-0.0,0.0
R_000392,7,1,1,7,1.0,-0.0,0.0
R_000393,6,1,0,6,1.0,-0.0,0.0
R_000394,8,1,4,8,1.0,-0.0,0.0
R_000395,5,4,7,2,0.4,1.3321790402101223,0.9609640474436812
R_000396,5,1,0,5,1.0,-0.0,0.0
R_000397,6,1,5,6,1.0,-0.0,0.0
R_000398,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000399,7,1,4,7,1.0,-0.0,0.0
R_000400,5,1,1,5,1.0,-0.0,0.0
R_000401,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000402,6,4,7,3,0.5,1.242453324894,0.8962406251802889
R_000403,7,1,1,7,1.0,-0.0,0.0
R_000404,5,1,0,5,1.0,-0.0,0.0
R_000405,7,1,4,7,1.0,-0.0,0.0
R_000406,5,1,1,5,1.0,-0.0,0.0
R_000407,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000408,8,1,0,8,1.0,-0.0,0.0
R_000409,6,1,3,6,1.0,-0.0,0.0
R_000410,6,1,4,6,1.0,-0.0,0.0
R_000411,8,1,3,8,1.0,-0.0,0.0
R_000412,5,1,6,5,1.0,-0.0,0.0
R_000413,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000414,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000415,8,1,4,8,1.0,-0.0,0.0
R_000416,7,1,4,7,1.0,-0.0,0.0
R_000417,5,1,3,5,1.0,-0.0,0.0
R_000418,5,1,4,5,1.0,-0.0,0.0
R_000419,5,1,2,5,1.0,-0.0,0.0
R_000420,5,1,7,5,1.0,-0.0,0.0
R_000421,7,1,0,7,1.0,-0.0,0.0
R_000422,7,3,7,4,0.5714285714285714,0.9556998911125343,0.8699155297736259
R_000423,5,1,4,5,1.0,-0.0,0.0
R_000424,7,1,3,7,1.0,-0.0,0.0
R_000425,5,2,7,4,0.8,0.5004024235381879,0.7219280948873623
R_000426,7,1,2,7,1.0,-0.0,0.0
R_000427,8,1,4,8,1.0,-0.0,0.0
R_000428,5,1,4,5,1.0,-0.0,0.0
R_000429,8,1,0,8,1.0,-0.0,0.0
R_000430,6,1,4,6,1.0,-0.0,0.0
R_000431,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000432,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000433,7,1,2,7,1.0,-0.0,0.0
R_000434,7,1,6,7,1.0,-0.0,0.0
R_000435,5,1,5,5,1.0,-0.0,0.0
R_000436,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000437,7,1,1,7,1.0,-0.0,0.0
R_000438,7,1,1,7,1.0,-0.0,0.0
R_000439,6,1,4,6,1.0,-0.0,0.0
R_000440,6,1,0,6,1.0,-0.0,0.0
R_000441,6,1,1,6,1.0,-0.0,0.0
R_000442,6,1,5,6,1.0,-0.0,0.0
R_000443,8,4,7,5,0.625,1.073542846408523,0.7743974703476992
R_000444,8,1,0,8,1.0,-0.0,0.0
R_000445,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000446,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000447,5,1,4,5,1.0,-0.0,0.0
R_000448,5,1,2,5,1.0,-0.0,0.0
R_000449,6,1,0,6,1.0,-0.0,0.0
R_000450,8,1,1,8,1.0,-0.0,0.0
R_000451,6,1,0,6,1.0,-0.0,0.0
R_000452,7,1,2,7,1.0,-0.0,0.0
R_000453,8,1,0,8,1.0,-0.0,0.0
R_000454,8,3,7,6,0.75,0.7356219397587946,0.6695919455357792
R_000455,5,1,6,5,1.0,-0.0,0.0
R_000456,7,1,1,7,1.0,-0.0,0.0
R_000457,8,1,3,8,1.0,-0.0,0.0
R_000458,5,1,1,5,1.0,-0.0,0.0
R_000459,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000460,7,1,4,7,1.0,-0.0,0.0
R_000461,7,1,4,7,1.0,-0.0,0.0
R_000462,6,2,7,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000463,5,1,2,5,1.0,-0.0,0.0
R_000464,7,1,4,7,1.0,-0.0,0.0
R_000465,8,1,0,8,1.0,-0.0,0.0
R_000466,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000467,7,1,3,7,1.0,-0.0,0.0
R_000468,5,1,0,5,1.0,-0.0,0.0
R_000469,7,1,1,7,1.0,-0.0,0.0
