job_id,seniority,industry
J_000119,Senior,EdTech
J_000120,Senior,EdTech
J_000121,Senior,Logistics
J_000122,Senior,Travel
J_000123,Senior,EdTech
J_000124,Mid,SaaS
J_000125,Junior,Travel
J_000126,Senior,Logistics
J_000127,Junior,Logistics
J_000128,Senior,Healthcare
J_000129,Senior,Gaming
J_000130,Mid,Healthcare
J_000131,Mid,E-commerce
J_000132,Mid,SaaS
J_000133,Senior,SaaS
J_000134,Junior,Logistics
J_000135,Junior,Retail
J_000136,Senior,Cybersecurity
J_000137,Mid,SaaS
J_000138,Senior,E-commerce
J_000139,Senior,Travel
J_000140,Junior,Gaming
J_000141,Senior,Gaming
J_000142,Senior,Logistics
J_000143,Mid,Cybersecurity
J_000144,Mid,Healthcare
J_000145,Mid,E-commerce
J_000146,Senior,Travel
J_000147,Senior,Healthcare
J_000148,Mid,Retail
J_000149,Junior,Logistics
J_000150,Junior,Logistics
J_000151,Junior,EdTech
J_000152,Junior,Healthcare
J_000153,Mid,FinTech
J_000154,Junior,SaaS
J_000155,Mid,Logistics
J_000156,Junior,FinTech
J_000157,Senior,SaaS
J_000158,Junior,EdTech
J_000159,Senior,Retail
J_000160,Junior,SaaS
J_000161,Mid,Healthcare
J_000162,Junior,FinTech
J_000163,Senior,Cybersecurity
J_000164,Junior,Gaming
J_000165,Junior,FinTech
J_000166,Junior,Healthcare
J_000167,Senior,Travel
J_000168,Junior,Travel
J_000169,Junior,Travel
J_000170,Junior,Cybersecurity
J_000171,Senior,Cybersecurity
J_000172,Junior,Cybersecurity
J_000173,Junior,Cybersecurity
J_000174,Senior,Healthcare
J_000175,Junior,Travel
J_000176,Senior,FinTech
J_000177,Senior,EdTech
J_000178,Senior,FinTech
J_000179,Mid,Healthcare
J_000180,Senior,Travel
J_000181,Senior,Retail
J_000182,Mid,Cybersecurity
J_000183,Junior,Gaming
J_000184,Senior,Healthcare
J_000185,Junior,Cybersecurity
J_000186,Senior,FinTech
J_000187,Junior,E-commerce
J_000188,Mid,Gaming
J_000189,Mid,Retail
J_000190,Mid,Cybersecurity
J_000191,Junior,Logistics
J_000192,Mid,Cybersecurity
J_000193,Junior,Travel
J_000194,Senior,Travel
J_000195,Senior,FinTech
J_000196,Mid,Gaming
J_000197,Junior,Cybersecurity
J_000198,Mid,Cybersecurity
J_000199,Mid,Cybersecurity
J_000200,Senior,Gaming
J_000201,Senior,Logistics
J_000202,Mid,Travel
J_000203,Senior,SaaS
J_000204,Senior,FinTech
J_000205,Mid,SaaS
J_000206,Junior,Healthcare
J_000207,Junior,E-commerce
J_000208,Senior,EdTech
J_000209,Senior,Gaming
J_000210,Junior,FinTech
J_000211,Mid,Gaming
J_000212,Mid,SaaS
J_000213,Junior,E-commerce
J_000214,Senior,Cybersecurity
J_000215,Junior,Travel
J_000216,Senior,Travel
J_000217,Mid,Healthcare
J_000218,Mid,Healthcare
J_000219,Junior,Retail
J_000220,Mid,EdTech
J_000221,Junior,Cybersecurity
J_000222,Senior,EdTech
J_000223,Senior,SaaS
J_000224,Junior,Healthcare
J_000225,Mid,E-commerce
J_000226,Junior,Logistics
J_000227,Junior,Cybersecurity
J_000228,Senior,E-commerce
J_000229,Junior,FinTech
J_000230,Senior,Gaming
J_000231,Mid,Logistics
J_000232,Junior,Gaming
J_000233,Mid,Healthcare
J_000234,Senior,SaaS
J_000235,Mid,Healthcare
J_000236,Mid,Gaming
J_000237,Mid,SaaS
J_000238,Junior,E-commerce
J_000239,Junior,Logistics
J_000240,Junior,SaaS
J_000241,Mid,Travel
J_000242,Mid,SaaS
J_000243,Mid,Cybersecurity
J_000244,Senior,Logistics
J_000245,Junior,EdTech
J_000246,Senior,Travel
J_000247,Junior,FinTech
J_000248,Mid,Logistics
J_000249,Senior,Healthcare
J_000250,Mid,E-commerce
J_000251,Senior,E-commerce
J_000252,Mid,Logistics
J_000253,Senior,Logistics
J_000254,Senior,Gaming
J_000255,Senior,Travel
J_000256,Junior,E-commerce
J_000257,Junior,Cybersecurity
J_000258,Junior,FinTech
J_000259,Junior,Gaming
J_000260,Mid,Cybersecurity
J_000261,Senior,Logistics
J_000262,Senior,Travel
J_000263,Junior,FinTech
J_000264,Senior,Gaming
J_000265,Junior,Logistics
J_000266,Mid,FinTech
J_000267,Mid,SaaS
J_000268,Mid,Logistics
J_000269,Senior,Cybersecurity
J_000270,Junior,Gaming
J_000271,Junior,FinTech
J_000272,Senior,Retail
J_000273,Junior,Retail
J_000274,Senior,Retail
J_000275,Junior,EdTech
J_000276,Junior,FinTech
J_000277,Junior,FinTech
J_000278,Junior,Travel
J_000279,Senior,Cybersecurity
J_000280,Mid,SaaS
J_000281,Mid,Travel
J_000282,Junior,Healthcare
J_000283,Senior,Retail
J_000284,Mid,SaaS
J_000285,Mid,FinTech
J_000286,Senior,FinTech
J_000287,Mid,SaaS
J_000288,Mid,Logistics
J_000289,Junior,Healthcare
J_000290,Senior,FinTech
J_000291,Mid,Gaming
J_000292,Senior,FinTech
J_000293,Mid,SaaS
J_000294,Junior,EdTech
J_000295,Junior,Gaming
J_000296,Junior,Cybersecurity
J_000297,Mid,Cybersecurity
J_000298,Senior,Travel
J_000299,Senior,Retail
J_000300,Senior,FinTech
J_000301,Junior,Healthcare
J_000302,Mid,Healthcare
J_000303,Junior,FinTech
J_000304,Junior,E-commerce
J_000305,Junior,Gaming
J_000306,Senior,Gaming
J_000307,Junior,FinTech
J_000308,Mid,SaaS
J_000309,Junior,FinTech
J_000310,Junior,Logistics
J_000311,Mid,Gaming
J_000312,Senior,FinTech
J_000313,Mid,Cybersecurity
J_000314,Senior,Gaming
J_000315,Mid,Retail
J_000316,Mid,EdTech
J_000317,Senior,EdTech
J_000318,Mid,Retail
J_000319,Senior,Travel
J_000320,Junior,Retail
J_000321,Mid,Retail
J_000322,Junior,Retail
J_000323,Senior,Cybersecurity
J_000324,Junior,Travel
J_000325,Mid,SaaS
J_000326,Junior,Logistics
J_000327,Mid,SaaS
J_000328,Mid,E-commerce
J_000329,Senior,Logistics
J_000330,Senior,Travel
J_000331,Senior,FinTech
J_000332,Mid,FinTech
J_000333,Junior,FinTech
J_000334,Mid,Travel
J_000335,Junior,E-commerce
J_000336,Junior,Healthcare
J_000337,Senior,SaaS
J_000338,Senior,Gaming
J_000339,Senior,FinTech
J_000340,Junior,Logistics
J_000341,Senior,Logistics
J_000342,Senior,Logistics
J_000343,Senior,E-commerce
J_000344,Mid,Travel
J_000345,Senior,Retail
J_000346,Junior,Logistics
J_000347,Mid,Retail
J_000348,Mid,SaaS
J_000349,Mid,EdTech
J_000350,Mid,Gaming
J_000351,Senior,Healthcare
J_000352,Senior,Cybersecurity
J_000353,Junior,EdTech
J_000354,Mid,Logistics
J_000355,Mid,Retail
J_000356,Junior,FinTech
J_000357,Senior,FinTech
J_000358,Senior,FinTech
J_000359,Mid,Healthcare
J_000360,Senior,FinTech
J_000361,Mid,Logistics
J_000362,Mid,E-commerce
J_000363,Senior,Retail
J_000364,Mid,Gaming
J_000365,Mid,Logistics
J_000366,Senior,Travel
J_000367,Mid,Travel
J_000368,Senior,E-commerce
J_000369,Junior,Retail
J_000370,Mid,Healthcare
J_000371,Junior,EdTech
J_000372,Junior,SaaS
J_000373,Senior,SaaS
J_000374,Junior,Cybersecurity
J_000375,Mid,Travel
J_000376,Mid,Healthcare
J_000377,Junior,FinTech
J_000378,Senior,Healthcare
J_000379,Junior,Logistics
J_000380,Junior,SaaS
J_000381,Mid,E-commerce
J_000382,Junior,EdTech
J_000383,Mid,Retail
J_000384,Mid,E-commerce
J_000385,Mid,SaaS
J_000386,Senior,Logistics
J_000387,Senior,FinTech
J_000388,Junior,Travel
J_000389,Mid,Logistics
J_000390,Junior,E-commerce
J_000391,Junior,Travel
J_000392,Mid,Cybersecurity
J_000393,Senior,Healthcare
J_000394,Senior,E-commerce
J_000395,Senior,Retail
J_000396,Junior,Cybersecurity
J_000397,Junior,Gaming
J_000398,Senior,Gaming
J_000399,Junior,Cybersecurity
J_000400,Mid,SaaS
J_000401,Junior,Healthcare
J_000402,Senior,Cybersecurity
J_000403,Junior,FinTech
J_000404,Junior,Cybersecurity
J_000405,Junior,SaaS
J_000406,Mid,Retail
J_000407,Junior,Healthcare
J_000408,Senior,E-commerce
J_000409,Senior,Healthcare
J_000410,Senior,Healthcare
J_000411,Senior,EdTech
J_000412,Junior,Gaming
J_000413,Junior,Healthcare
J_000414,Mid,Gaming
J_000415,Junior,Gaming
J_000416,Mid,Healthcare
J_000417,Mid,Retail
J_000418,Junior,EdTech
J_000419,Mid,EdTech
J_000420,Junior,EdTech
J_000421,Mid,Travel
J_000422,Junior,Logistics
J_000423,Senior,Travel
J_000424,Junior,EdTech
J_000425,Junior,Retail
J_000426,Junior,Gaming
J_000427,Senior,Retail
J_000428,Junior,FinTech
J_000429,Mid,SaaS
J_000430,Senior,SaaS
J_000431,Junior,FinTech
J_000432,Mid,E-commerce
J_000433,Junior,Cybersecurity
J_000434,Junior,EdTech
J_000435,Senior,Travel
J_000436,Mid,Gaming
J_000437,Senior,Gaming
J_000438,Mid,FinTech
J_000439,Mid,EdTech
J_000440,Junior,E-commerce
J_000441,Senior,Logistics
J_000442,Junior,EdTech
J_000443,Junior,Retail
J_000444,Junior,FinTech
J_000445,Junior,SaaS
J_000446,Senior,Logistics
J_000447,Junior,Logistics
J_000448,Senior,Logistics
J_000449,Mid,Travel
J_000450,Junior,Healthcare
J_000451,Senior,Travel
J_000452,Senior,Gaming
J_000453,Junior,Retail
J_000454,Senior,Cybersecurity
J_000455,Junior,Travel
J_000456,Senior,Logistics
J_000457,Mid,Retail
J_000458,Mid,E-commerce
J_000459,Junior,SaaS
J_000460,Mid,E-commerce
J_000461,Junior,Healthcare
J_000462,Mid,Logistics
J_000463,Junior,Healthcare
J_000464,Senior,Healthcare
J_000465,Mid,Logistics
J_000466,Senior,FinTech
J_000467,Junior,Gaming
J_000468,Mid,Healthcare
J_000469,Junior,Cybersecurity
J_000470,Junior,Retail
J_000471,Junior,E-commerce
J_000472,Senior,FinTech
J_000473,Mid,Gaming
J_000474,Mid,EdTech
J_000475,Senior,FinTech
J_000476,Senior,EdTech
J_000477,Senior,Gaming
J_000478,Junior,Cybersecurity
J_000479,Junior,Logistics
J_000480,Junior,SaaS
J_000481,Mid,Gaming
J_000482,Mid,FinTech
J_000483,Junior,FinTech
J_000484,Junior,Cybersecurity
J_000485,Mid,FinTech
J_000486,Mid,Travel
J_000487,Senior,Healthcare
J_000488,Senior,Cybersecurity
J_000489,Mid,Healthcare
J_000490,Senior,Logistics
J_000491,Senior,SaaS
J_000492,Junior,EdTech
J_000493,Senior,Travel
J_000494,Junior,E-commerce
J_000495,Junior,Gaming
J_000496,Mid,Logistics
J_000497,Senior,Cybersecurity
J_000498,Junior,SaaS
J_000499,Junior,Travel
J_000500,Junior,SaaS
J_000501,Senior,E-commerce
J_000502,Senior,Cybersecurity
J_000503,Mid,E-commerce
J_000504,Senior,Healthcare
J_000505,Junior,SaaS
J_000506,Senior,FinTech
J_000507,Senior,Retail
J_000508,Junior,SaaS
J_000509,Mid,FinTech
J_000510,Senior,FinTech
J_000511,Junior,EdTech
J_000512,Mid,Logistics
J_000513,Mid,EdTech
J_000514,Senior,E-commerce
J_000515,Mid,FinTech
J_000516,Senior,Gaming
J_000517,Senior,FinTech
J_000518,Senior,Logistics
J_000519,Junior,Logistics
J_000520,Junior,Retail
J_000521,Senior,Cybersecurity
J_000522,Senior,Retail
J_000523,Junior,E-commerce
J_000524,Senior,EdTech
J_000525,Junior,Retail
J_000526,Senior,SaaS
J_000527,Junior,Gaming
J_000528,Senior,Retail
J_000529,Mid,Travel
J_000530,Junior,Travel
J_000531,Junior,SaaS
J_000532,Senior,Healthcare
J_000533,Senior,SaaS
J_000534,Junior,Travel
J_000535,Senior,FinTech
J_000536,Senior,Gaming
J_000537,Junior,Cybersecurity
J_000538,Mid,EdTech
J_000539,Junior,Cybersecurity
J_000540,Mid,Travel
J_000541,Mid,Gaming
J_000542,Senior,Healthcare
J_000543,Junior,EdTech
J_000544,Mid,Gaming
J_000545,Senior,SaaS
J_000546,Junior,FinTech
J_000547,Mid,Cybersecurity
J_000548,Mid,Travel
J_000549,Senior,Travel
J_000550,Junior,Retail
J_000551,Junior,E-commerce
J_000552,Mid,Cybersecurity
J_000553,Mid,E-commerce
J_000554,Mid,Travel
J_000555,Junior,Retail
J_000556,Senior,FinTech
J_000557,Mid,Gaming
J_000558,Mid,EdTech
J_000559,Junior,SaaS
J_000560,Junior,Cybersecurity
J_000561,Mid,Cybersecurity
J_000562,Senior,Retail
J_000563,Senior,SaaS
J_000564,Senior,Logistics
J_000565,Mid,Retail
J_000566,Senior,FinTech
J_000567,Mid,SaaS
J_000568,Senior,Retail
J_000569,Senior,Cybersecurity
J_000570,Senior,Travel
J_000571,Junior,FinTech
J_000572,Junior,Cybersecurity
J_000573,Senior,Cybersecurity
J_000574,Senior,Travel
J_000575,Senior,Travel
J_000576,Senior,Travel
J_000577,Mid,Travel
J_000578,Mid,Cybersecurity
J_000579,Junior,Healthcare
J_000580,Junior,Healthcare
J_000581,Mid,Cybersecurity
J_000582,Junior,FinTech
J_000583,Mid,FinTech
J_000584,Senior,Retail
J_000585,Senior,Travel
J_000586,Mid,Healthcare
J_000587,Senior,Healthcare
J_000588,Junior,Cybersecurity
J_000589,Senior,Healthcare
J_000590,Mid,Logistics
J_000591,Junior,EdTech
J_000592,Mid,SaaS
J_000593,Senior,Retail
J_000594,Mid,Healthcare
J_000595,Junior,Travel
J_000596,Junior,FinTech
J_000597,Senior,Logistics
J_000598,Mid,Travel
J_000599,Senior,Logistics
J_000600,Mid,EdTech
J_000601,Senior,Logistics
J_000602,Junior,Travel
J_000603,Senior,FinTech
J_000604,Mid,Gaming
J_000605,Junior,FinTech
J_000606,Senior,Retail
J_000607,Senior,Healthcare
J_000608,Junior,Healthcare
J_000609,Senior,Cybersecurity
J_000610,Senior,FinTech
J_000611,Senior,SaaS
J_000612,Senior,E-commerce
J_000613,Mid,Healthcare
J_000614,Senior,Gaming
J_000615,Senior,Healthcare
J_000616,Senior,Gaming
J_000617,Junior,Healthcare
J_000618,Junior,Retail
J_000619,Senior,FinTech
J_000620,Mid,SaaS
J_000621,Mid,SaaS
J_000622,Junior,FinTech
J_000623,Junior,E-commerce
J_000624,Junior,Gaming
J_000625,Junior,FinTech
J_000626,Mid,Travel
J_000627,Junior,FinTech
J_000628,Senior,Cybersecurity
J_000629,Senior,Gaming
J_000630,Junior,Gaming
J_000631,Senior,Travel
J_000632,Senior,SaaS
J_000633,Senior,FinTech
J_000634,Junior,EdTech
J_000635,Mid,EdTech
J_000636,Junior,Retail
J_000637,Mid,EdTech
J_000638,Junior,EdTech
J_000639,Mid,Logistics
J_000640,Senior,SaaS
J_000641,Senior,Cybersecurity
J_000642,Senior,EdTech
J_000643,Senior,EdTech
J_000644,Senior,SaaS
J_000645,Junior,Cybersecurity
J_000646,Senior,Logistics
J_000647,Junior,SaaS
J_000648,Senior,Healthcare
J_000649,Mid,E-commerce
J_000650,Junior,Retail
J_000651,Senior,Logistics
J_000652,Senior,Gaming
J_000653,Junior,Logistics
J_000654,Senior,SaaS
J_000655,Senior,Gaming
J_000656,Junior,Healthcare
J_000657,Senior,Cybersecurity
J_000658,Mid,Cybersecurity
J_000659,Mid,FinTech
J_000660,Senior,Travel
J_000661,Senior,Travel
J_000662,Senior,Gaming
J_000663,Junior,FinTech
J_000664,Junior,Gaming
J_000665,Junior,FinTech
J_000666,Senior,Logistics
J_000667,Junior,Healthcare
J_000668,Junior,Gaming
J_000669,Junior,E-commerce
J_000670,Mid,Retail
J_000671,Senior,E-commerce
J_000672,Junior,FinTech
J_000673,Senior,Retail
J_000674,Mid,Cybersecurity
J_000675,Senior,Logistics
J_000676,Mid,Retail
J_000677,Senior,Travel
J_000678,Junior,Healthcare
J_000679,Mid,Healthcare
J_000680,Senior,Healthcare
J_000681,Mid,EdTech
J_000682,Junior,Cybersecurity
J_000683,Mid,SaaS
J_000684,Senior,E-commerce
J_000685,Senior,Retail
J_000686,Mid,Logistics
J_000687,Senior,Travel
J_000688,Junior,Retail
J_000689,Junior,Retail
J_000690,Mid,EdTech
J_000691,Mid,Retail
J_000692,Senior,Retail
J_000693,Senior,FinTech
J_000694,Senior,Gaming
J_000695,Mid,Travel
J_000696,Mid,Gaming
J_000697,Junior,Cybersecurity
J_000698,Mid,Cybersecurity
J_000699,Mid,Travel
J_000700,Mid,E-commerce
J_000701,Junior,Retail
J_000702,Junior,Travel
J_000703,Senior,Gaming
J_000704,Senior,EdTech
J_000705,Senior,E-commerce
J_000706,Senior,Travel
J_000707,Senior,EdTech
J_000708,Mid,Retail
J_000709,Mid,FinTech
J_000710,Senior,EdTech
J_000711,Senior,Healthcare
J_000712,Mid,Retail
J_000713,Mid,EdTech
J_000714,Mid,E-commerce
J_000715,Mid,Logistics
J_000716,Junior,FinTech
J_000717,Mid,E-commerce
J_000718,Junior,EdTech
J_000719,Senior,Logistics
J_000720,Mid,Cybersecurity
J_000721,Junior,Healthcare
J_000722,Mid,Cybersecurity
J_000723,Mid,EdTech
J_000724,Mid,SaaS
J_000725,Senior,Gaming
J_000726,Senior,SaaS
J_000727,Mid,Healthcare
J_000728,Junior,Travel
J_000729,Mid,E-commerce
J_000730,Mid,EdTech
J_000731,Senior,E-commerce
J_000732,Junior,FinTech
J_000733,Senior,E-commerce
J_000734,Junior,FinTech
J_000735,Junior,SaaS
J_000736,Mid,EdTech
J_000737,Junior,Healthcare
J_000738,Junior,SaaS
J_000739,Senior,Retail
J_000740,Senior,EdTech
J_000741,Mid,Retail
J_000742,Junior,Gaming
J_000743,Mid,Healthcare
J_000744,Junior,EdTech
J_000745,Senior,EdTech
J_000746,Senior,FinTech
J_000747,Senior,Gaming
J_000748,Junior,E-commerce
J_000749,Junior,SaaS
J_000750,Mid,Travel
J_000751,Junior,EdTech
J_000752,Senior,Healthcare
J_000753,Mid,Gaming
J_000754,Junior,Healthcare
J_000755,Mid,FinTech
J_000756,Mid,Retail
J_000757,Mid,SaaS
J_000758,Senior,Travel
J_000759,Mid,Logistics
J_000760,Mid,Gaming
J_000761,Junior,Logistics
J_000762,Junior,SaaS
J_000763,Mid,Cybersecurity
J_000764,Mid,Healthcare
J_000765,Senior,Retail
J_000766,Junior,FinTech
J_000767,Junior,Logistics
J_000768,Junior,FinTech
J_000769,Mid,Gaming
J_000770,Mid,SaaS
J_000771,Mid,SaaS
J_000772,Junior,Gaming
J_000773,Mid,Gaming
J_000774,Senior,E-commerce
J_000775,Junior,Gaming
J_000776,Junior,Logistics
J_000777,Senior,Cybersecurity
J_000778,Senior,Travel
J_000779,Senior,Retail
J_000780,Mid,SaaS
J_000781,Junior,Healthcare
J_000782,Senior,Healthcare
J_000783,Senior,E-commerce
J_000784,Senior,Cybersecurity
J_000785,Mid,EdTech
J_000786,Mid,Logistics
J_000787,Mid,E-commerce
J_000788,Mid,Healthcare
J_000789,Junior,Logistics
J_000790,Junior,SaaS
J_000791,Junior,FinTech
J_000792,Junior,Healthcare
J_000793,Senior,FinTech
J_000794,Mid,FinTech
J_000795,Junior,E-commerce
J_000796,Junior,Logistics
J_000797,Mid,Healthcare
J_000798,Mid,Healthcare
J_000799,Junior,Cybersecurity
J_000800,Mid,SaaS
J_000801,Junior,Retail
J_000802,Mid,Retail
J_000803,Mid,Gaming
J_000804,Mid,FinTech
J_000805,Mid,Gaming
J_000806,Mid,Healthcare
J_000807,Mid,SaaS
J_000808,Junior,Travel
J_000809,Junior,Gaming
J_000810,Senior,SaaS
J_000811,Mid,Logistics
J_000812,Senior,Gaming
J_000813,Junior,FinTech
J_000814,Senior,E-commerce
J_000815,Junior,Travel
J_000816,Junior,Healthcare
J_000817,Senior,Healthcare
J_000818,Junior,EdTech
J_000819,Senior,Gaming
J_000820,Mid,Healthcare
J_000821,Junior,Healthcare
J_000822,Mid,Cybersecurity
J_000823,Junior,Logistics
J_000824,Senior,EdTech
J_000825,Senior,Gaming
J_000826,Junior,Logistics
J_000827,Mid,EdTech
J_000828,Junior,SaaS
J_000829,Senior,EdTech
J_000830,Senior,Gaming
J_000831,Mid,Healthcare
J_000832,Junior,FinTech
J_000833,Mid,SaaS
J_000834,Junior,Retail
J_000835,Junior,FinTech
J_000836,Mid,Gaming
J_000837,Mid,Cybersecurity
J_000838,Junior,Gaming
J_000839,Senior,Healthcare
J_000840,Junior,Travel
J_000841,Senior,Travel
J_000842,Junior,Travel
J_000843,Senior,EdTech
J_000844,Mid,EdTech
J_000845,Junior,Retail
J_000846,Junior,FinTech
J_000847,Junior,Cybersecurity
J_000848,Senior,E-commerce
J_000849,Mid,Cybersecurity
J_000850,Junior,Travel
J_000851,Senior,E-commerce
J_000852,Junior,Gaming
J_000853,Junior,Travel
J_000854,Junior,FinTech
J_000855,Junior,Retail
J_000856,Senior,Retail
J_000857,Senior,E-commerce
J_000858,Senior,Gaming
J_000859,Junior,Retail
J_000860,Senior,Retail
J_000861,Junior,SaaS
J_000862,Mid,Retail
J_000863,Senior,Logistics
J_000864,Senior,Cybersecurity
J_000865,Mid,Logistics
J_000866,Senior,E-commerce
J_000867,Mid,Retail
J_000868,Mid,Travel
J_000869,Mid,SaaS
J_000870,Senior,SaaS
J_000871,Senior,Healthcare
J_000872,Mid,SaaS
J_000873,Junior,E-commerce
J_000874,Senior,Cybersecurity
J_000875,Junior,Cybersecurity
J_000876,Mid,Logistics
J_000877,Mid,FinTech
J_000878,Mid,Travel
J_000879,Junior,Healthcare
J_000880,Mid,EdTech
J_000881,Mid,Retail
J_000882,Senior,Cybersecurity
J_000883,Junior,Retail
J_000884,Mid,Retail
J_000885,Junior,EdTech
J_000886,Senior,Healthcare
J_000887,Mid,Cybersecurity
J_000888,Senior,Travel
J_000889,Mid,Cybersecurity
J_000890,Junior,Gaming
J_000891,Junior,Retail
J_000892,Junior,FinTech
J_000893,Mid,Gaming
J_000894,Mid,Travel
J_000895,Senior,Travel
J_000896,Junior,FinTech
J_000897,Senior,E-commerce
J_000898,Senior,Cybersecurity
J_000899,Senior,Logistics
J_000900,Mid,Retail
J_000901,Junior,SaaS
J_000902,Junior,Gaming
J_000903,Senior,Healthcare
J_000904,Mid,EdTech
J_000905,Senior,Cybersecurity
J_000906,Mid,SaaS
J_000907,Senior,SaaS
J_000908,Junior,Healthcare
J_000909,Mid,Logistics
J_000910,Junior,Retail
J_000911,Senior,FinTech
J_000912,Junior,Gaming
J_000913,Mid,Retail
J_000914,Junior,E-commerce
J_000915,Mid,E-commerce
J_000916,Senior,Cybersecurity
J_000917,Junior,Travel
J_000918,Mid,FinTech
J_000919,Junior,Healthcare
J_000920,Mid,FinTech
J_000921,Senior,Healthcare
J_000922,Junior,Cybersecurity
J_000923,Junior,FinTech
J_000924,Mid,Cybersecurity
J_000925,Mid,Gaming
J_000926,Mid,Logistics
J_000927,Mid,Healthcare
J_000928,Mid,Healthcare
J_000929,Mid,SaaS
J_000930,Senior,Travel
J_000931,Senior,EdTech
J_000932,Senior,EdTech
J_000933,Junior,Retail
J_000934,Senior,E-commerce
J_000935,Junior,Logistics
J_000936,Senior,Healthcare
J_000937,Mid,Cybersecurity
J_000938,Mid,SaaS
J_000939,Junior,Healthcare
J_000940,Senior,Retail
J_000941,Junior,Gaming
J_000942,Senior,Gaming
J_000943,Junior,Cybersecurity
J_000944,Junior,FinTech
J_000945,Junior,Healthcare
J_000946,Junior,Logistics
J_000947,Senior,EdTech
J_000948,Mid,Healthcare
J_000949,Mid,EdTech
J_000950,Mid,Gaming
J_000951,Junior,Healthcare
J_000952,Junior,Travel
J_000953,Senior,EdTech
J_000954,Mid,EdTech
J_000955,Junior,Healthcare
J_000956,Mid,Cybersecurity
J_000957,Senior,Retail
J_000958,Senior,FinTech
J_000959,Senior,Retail
J_000960,Junior,E-commerce
J_000961,Senior,Retail
J_000962,Mid,FinTech
J_000963,Junior,Gaming
J_000964,Mid,EdTech
J_000965,Junior,E-commerce
J_000966,Junior,FinTech
J_000967,Junior,EdTech
J_000968,Junior,Gaming
J_000969,Senior,EdTech
J_000970,Mid,SaaS
J_000971,Junior,E-commerce
J_000972,Senior,E-commerce
J_000973,Junior,SaaS
J_000974,Mid,SaaS
J_000975,Junior,FinTech
J_000976,Junior,Travel
