node_id,node_type,degree,bipartite_degree_centrality,pagerank,betweenness_approx,role,job_title,seniority,industry
R_000096,CV,6,0.0024,4.3093917567834514e-05,6.0031513325833775e-06,Technical Support Specialist,,Senior,Gaming
R_000097,CV,6,0.0024,4.427274531033388e-05,3.7245532818751613e-07,Account Executive,,Senior,Travel
R_000098,CV,4,0.0016,3.232463955437128e-05,2.917095957472543e-06,Financial Analyst,,Senior,E-commerce
R_000099,CV,5,0.002,4.045067112922082e-05,2.336122488219058e-06,Performance Marketer,,Mid,Healthcare
R_000100,CV,10,0.004,6.301863434547204e-05,8.173401958309281e-05,FP&A Analyst,,Mid,Retail
R_000101,CV,8,0.0032,5.289941970250461e-05,4.5320548275863044e-05,Junior Accountant,,Junior,Cybersecurity
R_000102,CV,5,0.002,3.771897552154487e-05,3.9924547570570585e-07,FP&A Analyst,,Senior,EdTech
R_000103,CV,14,0.0056,8.274832036493265e-05,1.5777619748766424e-05,Customer Support Specialist,,Senior,Logistics
R_000104,CV,3,0.0012,2.8298175723809228e-05,5.966505450379906e-08,Software Engineer,,Junior,E-commerce
R_000105,CV,12,0.0048,7.369564969327289e-05,1.4238707183550399e-05,Financial Analyst,,Senior,Cybersecurity
R_000106,CV,6,0.0024,4.680965271295352e-05,1.7929999361736115e-07,Technical Product Manager,,Junior,Travel
R_000107,CV,7,0.0028,4.802779757743391e-05,2.7114739748389204e-05,Customer Success Associate,,Junior,Retail
R_000108,CV,4,0.0016,3.3963934898645824e-05,6.36315061421599e-06,Business Analyst,,Junior,Logistics
R_000109,CV,16,0.0064,9.939369633861176e-05,5.530026077390508e-05,Backend Engineer,,Senior,Retail
R_000110,CV,10,0.004,6.318955487346585e-05,6.883180514289966e-05,Junior Accountant,,Senior,Retail
R_000111,CV,2,0.0008,2.329326603052043e-05,1.8314262615434866e-06,Sales Representative,,Mid,FinTech
R_000112,CV,12,0.0048,7.339418361463802e-05,3.630028951189757e-05,Customer Support Specialist,,Senior,Logistics
R_000113,CV,7,0.0028,4.730118212846621e-05,8.088150116417223e-06,Customer Support Specialist,,Mid,E-commerce
R_000114,CV,8,0.0032,5.675636514228585e-05,7.497898726152434e-06,Performance Marketer,,Senior,Retail
R_000115,CV,11,0.0044,7.20192799256131e-05,8.566524614440671e-05,Backend Engineer,,Mid,Cybersecurity
R_000116,CV,3,0.0012,2.9398602792783752e-05,8.510573160031084e-06,Performance Marketer,,Junior,E-commerce
R_000117,CV,4,0.0016,3.447145141593516e-05,2.0915708904595476e-06,Full Stack Engineer,,Senior,Healthcare
R_000118,CV,12,0.0048,7.289808132875098e-05,5.089408075143976e-05,Technical Support Specialist,,Senior,SaaS
R_000119,CV,4,0.0016,3.519212680249676e-05,8.53834624204162e-08,Marketing Manager,,Junior,EdTech
R_000120,CV,11,0.0044,7.125369707731062e-05,5.864749380712127e-06,Sales Representative,,Senior,Gaming
R_000121,CV,3,0.0012,2.835005844076009e-05,3.7346455397798117e-08,BI Analyst,,Mid,Travel
R_000122,CV,1,0.0004,1.8199534990143e-05,0.0,Technical Product Manager,,Mid,SaaS
R_000123,CV,2,0.0008,2.4346602980578446e-05,2.155510323940332e-08,Product Manager,,Senior,Travel
R_000124,CV,5,0.002,4.110312885808927e-05,5.713843130941842e-08,Technical Product Manager,,Mid,FinTech
R_000125,CV,6,0.0024,4.2879002373794595e-05,2.666575279105032e-05,FP&A Analyst,,Senior,Healthcare
R_000126,CV,9,0.0036,5.9281341190430845e-05,2.3871091734348947e-05,Program Coordinator,,Mid,Logistics
R_000127,CV,4,0.0016,3.517893514005188e-05,2.200815217696329e-06,Content Marketer,,Junior,EdTech
R_000128,CV,10,0.004,6.405446849266862e-05,1.3316223270937574e-05,Operations Manager,,Mid,Travel
R_000129,CV,12,0.0048,7.38703690609096e-05,4.1499756662464724e-05,Project Manager,,Mid,Retail
R_000130,CV,3,0.0012,2.7469920941312506e-05,1.0883376629774422e-07,Financial Analyst,,Junior,Travel
R_000131,CV,3,0.0012,2.9643482772811915e-05,3.881764174828973e-08,Associate Product Manager,,Junior,Logistics
R_000132,CV,14,0.0056,8.269063211003667e-05,2.9913282689561768e-05,Customer Support Specialist,,Junior,Cybersecurity
R_000133,CV,18,0.0072,0.00010253019155114505,8.35451711958207e-06,Customer Success Associate,,Junior,Logistics
R_000134,CV,16,0.0064,9.387448986740791e-05,0.0001126772778715037,Program Coordinator,,Junior,SaaS
R_000135,CV,3,0.0012,2.8548610567004723e-05,2.730875284101078e-06,Full Stack Engineer,,Mid,FinTech
R_000136,CV,3,0.0012,2.8631455828756174e-05,8.78310211379941e-07,Sales Representative,,Junior,Healthcare
R_000137,CV,12,0.0048,7.718915718468283e-05,1.572083007780208e-05,Business Analyst,,Mid,Gaming
R_000138,CV,14,0.0056,8.40212548840971e-05,2.9314132775173328e-06,Junior Accountant,,Mid,EdTech
R_000139,CV,3,0.0012,2.8720056265942124e-05,1.9715139627715747e-06,BI Analyst,,Junior,EdTech
R_000140,CV,11,0.0044,6.792538388942444e-05,4.063713483251835e-06,Customer Support Specialist,,Senior,Cybersecurity
R_000141,CV,1,0.0004,1.7552543911978273e-05,0.0,Sales Representative,,Mid,Retail
R_000142,CV,7,0.0028,4.771684499099336e-05,8.950908250083895e-07,Junior Accountant,,Mid,Retail
R_000143,CV,5,0.002,3.769230756770387e-05,1.7098907896927212e-06,Customer Support Specialist,,Mid,Logistics
R_000144,CV,4,0.0016,3.4110996721059465e-05,2.037788825754764e-06,Software Engineer,,Mid,Retail
R_000145,CV,8,0.0032,5.260631949691062e-05,4.009092903121027e-05,Program Coordinator,,Mid,Retail
R_000146,CV,7,0.0028,5.040392616649838e-05,8.223000404297492e-06,Software Engineer,,Mid,E-commerce
R_000147,CV,10,0.004,6.344099969902194e-05,5.181560635673884e-05,Project Manager,,Senior,Gaming
R_000148,CV,13,0.0052,7.871151066052851e-05,1.1299450409638583e-05,Customer Support Specialist,,Senior,Travel
R_000149,CV,3,0.0012,2.9772369443965064e-05,1.8290418488889178e-06,Product Manager,,Mid,Gaming
R_000150,CV,6,0.0024,4.4102806002230906e-05,3.844612983148876e-06,Data Analyst,,Senior,SaaS
R_000151,CV,11,0.0044,7.044054030107456e-05,3.114123045386263e-05,Sales Representative,,Junior,Cybersecurity
R_000152,CV,6,0.0024,4.6307515288178353e-05,1.9365300957204956e-06,Performance Marketer,,Senior,EdTech
R_000153,CV,8,0.0032,5.5869069787733104e-05,2.584066862092293e-06,Backend Engineer,,Junior,Gaming
R_000154,CV,10,0.004,6.598607196592641e-05,4.351112520119187e-06,Sales Representative,,Senior,EdTech
R_000155,CV,4,0.0016,3.4502071593590176e-05,1.640537256920751e-07,Full Stack Engineer,,Senior,SaaS
R_000156,CV,9,0.0036,6.521335208064662e-05,8.697825130471375e-06,Product Manager,,Senior,Gaming
R_000157,CV,6,0.0024,4.2675296652096775e-05,4.823766768380735e-07,Junior Accountant,,Junior,FinTech
R_000158,CV,10,0.004,6.656746790625862e-05,1.1266382136602811e-05,Data Analyst,,Senior,Cybersecurity
R_000159,CV,18,0.0072,0.0001044135713544827,2.258475427642921e-05,Program Coordinator,,Mid,SaaS
R_000160,CV,6,0.0024,4.643746836677071e-05,1.6926404483261365e-05,Associate Product Manager,,Senior,Cybersecurity
R_000161,CV,6,0.0024,4.706116942382496e-05,1.8532089367457927e-05,Associate Product Manager,,Senior,EdTech
R_000162,CV,13,0.0052,7.78527066852851e-05,1.9154913011060625e-05,Customer Success Associate,,Senior,Gaming
R_000163,CV,10,0.004,6.424909512833795e-05,1.3069007789482673e-05,Program Coordinator,,Senior,EdTech
R_000164,CV,7,0.0028,4.8602059116807146e-05,2.58377159503161e-05,Operations Manager,,Mid,Cybersecurity
R_000165,CV,10,0.004,6.70177826164062e-05,1.729612953453858e-05,Backend Engineer,,Senior,EdTech
R_000166,CV,7,0.0028,5.0599056133977954e-05,5.1396483044621935e-06,BI Analyst,,Mid,EdTech
R_000167,CV,2,0.0008,2.3239713090448048e-05,1.698216319973594e-08,Content Marketer,,Junior,Travel
R_000168,CV,6,0.0024,4.406265432077479e-05,2.3272869429652987e-07,Sales Representative,,Junior,EdTech
R_000169,CV,5,0.002,3.89425032850207e-05,1.578498437595591e-07,Backend Engineer,,Mid,Logistics
R_000170,CV,6,0.0024,4.3334218112308314e-05,1.4056843456623739e-05,Operations Manager,,Senior,Logistics
R_000171,CV,13,0.0052,8.239010227844303e-05,2.6194562353932288e-05,Sales Representative,,Junior,Cybersecurity
R_000172,CV,3,0.0012,2.9943521405024924e-05,2.5330881519272396e-06,Technical Product Manager,,Mid,EdTech
R_000173,CV,3,0.0012,2.9520410926706564e-05,2.2111994638246537e-08,Product Manager,,Senior,Cybersecurity
R_000174,CV,8,0.0032,5.482143208419931e-05,8.551784846979846e-06,Business Development Manager,,Senior,Healthcare
R_000175,CV,13,0.0052,8.77525720313213e-05,2.2127651435251377e-05,Technical Product Manager,,Senior,Retail
R_000176,CV,4,0.0016,3.2995000441580784e-05,2.3349862072176378e-07,Junior Accountant,,Mid,E-commerce
R_000177,CV,1,0.0004,1.7244487452906306e-05,0.0,Junior Accountant,,Junior,SaaS
R_000178,CV,8,0.0032,5.906135056383658e-05,6.210635016218055e-05,Associate Product Manager,,Mid,Healthcare
R_000179,CV,9,0.0036,6.069585401298041e-05,9.026743069621138e-06,Business Analyst,,Mid,Healthcare
R_000180,CV,8,0.0032,5.362391715320185e-05,2.124002440594895e-05,Program Coordinator,,Senior,Gaming
R_000181,CV,12,0.0048,7.403711925923435e-05,0.00036338272348521356,Junior Accountant,,Mid,Healthcare
R_000182,CV,11,0.0044,7.435837484414038e-05,2.0875713838876223e-05,Performance Marketer,,Mid,SaaS
R_000183,CV,7,0.0028,4.9167506887239165e-05,5.202607495217925e-06,Sales Representative,,Senior,E-commerce
R_000184,CV,5,0.002,3.902384876443433e-05,2.0698989938824698e-05,BI Analyst,,Mid,Travel
R_000185,CV,6,0.0024,4.4206041287760106e-05,1.435734195357714e-07,Data Analyst,,Junior,E-commerce
R_000186,CV,4,0.0016,3.428218937162319e-05,4.697973376097259e-06,Full Stack Engineer,,Junior,Logistics
R_000187,CV,7,0.0028,4.9973281320919905e-05,3.990513334136342e-06,Data Analyst,,Senior,FinTech
R_000188,CV,13,0.0052,7.920444259204518e-05,3.0102157229384897e-06,FP&A Analyst,,Junior,Gaming
R_000189,CV,4,0.0016,3.5098183259866675e-05,2.44005501780038e-06,Marketing Manager,,Junior,Gaming
R_000190,CV,10,0.004,6.620183424295724e-05,2.8919638180404025e-05,Sales Representative,,Senior,Travel
R_000191,CV,13,0.0052,7.823031149539236e-05,1.0640109808583499e-05,Customer Success Associate,,Senior,Cybersecurity
R_000192,CV,14,0.0056,8.606032504662632e-05,4.010702905280997e-05,Account Executive,,Senior,Logistics
R_000193,CV,8,0.0032,5.340138570435042e-05,2.9437284199920643e-07,Operations Manager,,Senior,Cybersecurity
R_000194,CV,4,0.0016,3.5765455984590155e-05,2.176861138390091e-06,Product Manager,,Senior,Gaming
R_000195,CV,6,0.0024,4.372101293055594e-05,5.493725663632889e-06,Operations Manager,,Senior,FinTech
R_000196,CV,10,0.004,6.566653895318136e-05,1.596984155864444e-05,Data Analyst,,Senior,FinTech
R_000197,CV,8,0.0032,5.576615536908301e-05,1.1217475602609295e-05,Business Analyst,,Junior,Healthcare
R_000198,CV,1,0.0004,1.8127032119983964e-05,0.0,Full Stack Engineer,,Junior,FinTech
R_000199,CV,4,0.0016,3.474982243689713e-05,1.5151369791045471e-05,Content Marketer,,Mid,Cybersecurity
R_000200,CV,10,0.004,6.59514210721382e-05,1.4343239603724026e-05,BI Analyst,,Senior,Travel
R_000201,CV,13,0.0052,7.963588559161361e-05,3.303500363389218e-05,Program Coordinator,,Mid,FinTech
R_000202,CV,13,0.0052,8.26310204101003e-05,4.539290800355287e-05,BI Analyst,,Senior,Retail
R_000203,CV,5,0.002,3.941504605116366e-05,1.8661617954094888e-06,Data Analyst,,Senior,EdTech
R_000204,CV,7,0.0028,5.014731369478969e-05,4.933028483962323e-06,Business Analyst,,Mid,Cybersecurity
R_000205,CV,10,0.004,6.580507942153853e-05,1.3164452318375922e-05,Sales Representative,,Junior,E-commerce
R_000206,CV,8,0.0032,5.8377638570671716e-05,9.254896243303013e-06,Associate Product Manager,,Mid,Gaming
R_000207,CV,20,0.008,0.00011396451014202611,8.930041698268654e-05,Financial Analyst,,Junior,E-commerce
R_000208,CV,2,0.0008,2.2633926591524345e-05,4.429192635771864e-07,Customer Success Associate,,Junior,Travel
R_000209,CV,8,0.0032,5.2587492529812e-05,3.1346425876840345e-07,Technical Support Specialist,,Junior,EdTech
R_000210,CV,5,0.002,3.7587505050649364e-05,3.4254252992766446e-07,FP&A Analyst,,Junior,Gaming
R_000211,CV,5,0.002,4.003427723909918e-05,1.9512705468075476e-06,Content Marketer,,Senior,SaaS
R_000212,CV,7,0.0028,4.8464424885831524e-05,8.599166974132949e-07,Financial Analyst,,Junior,EdTech
R_000213,CV,14,0.0056,8.681731870313278e-05,9.015893932769195e-05,Account Executive,,Mid,SaaS
R_000214,CV,8,0.0032,5.589924223737231e-05,8.139411976410739e-06,Software Engineer,,Mid,EdTech
R_000215,CV,10,0.004,6.334420879082374e-05,4.6265630546621046e-05,FP&A Analyst,,Mid,E-commerce
R_000216,CV,7,0.0028,4.845253228728313e-05,1.8032969773690364e-05,Operations Manager,,Mid,Logistics
R_000217,CV,8,0.0032,5.2396240088851053e-05,8.058015537180222e-06,Customer Support Specialist,,Mid,FinTech
R_000218,CV,4,0.0016,3.412463839832313e-05,6.589168471866788e-06,Software Engineer,,Mid,E-commerce
R_000219,CV,4,0.0016,3.528941735761913e-05,4.388758348975662e-06,Technical Product Manager,,Junior,Gaming
R_000220,CV,6,0.0024,4.752419660632393e-05,2.3554776191049024e-05,Technical Product Manager,,Junior,Cybersecurity
R_000221,CV,8,0.0032,5.251389748292747e-05,8.450767000953716e-07,FP&A Analyst,,Junior,Retail
R_000222,CV,13,0.0052,8.768404389534936e-05,3.3718501955410096e-05,Product Manager,,Senior,Retail
R_000223,CV,5,0.002,3.7782418401570116e-05,2.9711307900701236e-07,Financial Analyst,,Senior,Travel
R_000224,CV,11,0.0044,7.382775303939244e-05,3.2037814337287244e-05,Performance Marketer,,Senior,Retail
R_000225,CV,10,0.004,6.308020201542896e-05,0.00021291566788191372,Financial Analyst,,Senior,Healthcare
R_000226,CV,10,0.004,6.877146480620215e-05,1.3970152916521737e-05,Performance Marketer,,Senior,E-commerce
R_000227,CV,10,0.004,6.630586140976476e-05,9.098412132975028e-07,Full Stack Engineer,,Junior,Cybersecurity
R_000228,CV,6,0.0024,4.6851609776870046e-05,2.428396509432463e-06,Associate Product Manager,,Senior,EdTech
R_000229,CV,7,0.0028,4.952652447427873e-05,6.2276937285293725e-06,Business Development Manager,,Mid,Gaming
R_000230,CV,6,0.0024,4.508225196102537e-05,2.0136385482072805e-05,Software Engineer,,Mid,FinTech
R_000231,CV,4,0.0016,3.3557428920387574e-05,4.845588156203014e-06,Business Development Manager,,Junior,SaaS
R_000232,CV,9,0.0036,6.259495554650315e-05,5.617775797373083e-06,Marketing Manager,,Senior,Cybersecurity
R_000233,CV,4,0.0016,3.43098595998769e-05,2.047145021292247e-06,Content Marketer,,Mid,Logistics
R_000234,CV,11,0.0044,7.621386974792537e-05,1.0018941369627847e-05,Technical Product Manager,,Senior,EdTech
R_000235,CV,13,0.0052,7.861387537080021e-05,0.00015127862561954434,FP&A Analyst,,Mid,E-commerce
R_000236,CV,3,0.0012,2.8525120995641426e-05,4.650650993676237e-06,Backend Engineer,,Senior,EdTech
R_000237,CV,6,0.0024,4.219476593865727e-05,8.81772126633005e-06,Technical Support Specialist,,Mid,Cybersecurity
R_000238,CV,19,0.0076,0.00011386973652129087,3.879379667887496e-05,BI Analyst,,Junior,Logistics
R_000239,CV,7,0.0028,4.799552867127267e-05,1.6367713793629564e-05,Customer Support Specialist,,Senior,Retail
R_000240,CV,4,0.0016,3.3573248468702744e-05,1.6531796657016832e-05,Business Development Manager,,Junior,Healthcare
R_000241,CV,7,0.0028,4.848886473703941e-05,8.181343273613844e-06,Project Manager,,Junior,Healthcare
R_000242,CV,8,0.0032,5.4007905771353015e-05,1.1012824021543903e-05,Program Coordinator,,Senior,E-commerce
R_000243,CV,2,0.0008,2.3177766084510236e-05,3.81013343087275e-09,Business Analyst,,Mid,SaaS
R_000244,CV,10,0.004,6.308348488246758e-05,7.713841911281866e-06,Junior Accountant,,Mid,Cybersecurity
R_000245,CV,5,0.002,4.137194565990605e-05,8.06431891094468e-06,Associate Product Manager,,Junior,FinTech
R_000246,CV,9,0.0036,6.163625995123635e-05,1.6110852714623992e-05,Software Engineer,,Mid,Healthcare
R_000247,CV,5,0.002,3.896000993296918e-05,1.870212303143752e-06,Data Analyst,,Mid,Gaming
R_000248,CV,6,0.0024,4.42870786670865e-05,1.710358113844844e-05,Business Development Manager,,Senior,Gaming
R_000249,CV,2,0.0008,2.2715200012047928e-05,5.157367030010009e-08,FP&A Analyst,,Senior,Retail
