node_id,node_type,community_global,role,job_title,seniority,industry
R_000082,CV,7,Customer Support Specialist,,Mid,E-commerce
R_000083,CV,6,Operations Manager,,Senior,SaaS
R_000084,CV,7,Customer Success Associate,,Senior,EdTech
R_000085,CV,2,Associate Product Manager,,Mid,EdTech
R_000086,CV,7,Customer Support Specialist,,Mid,E-commerce
R_000087,CV,2,Product Manager,,Senior,Retail
R_000088,CV,7,Customer Support Specialist,,Mid,FinTech
R_000089,CV,4,Business Development Manager,,Junior,Logistics
R_000090,CV,7,Customer Success Associate,,Senior,EdTech
R_000091,CV,1,Junior Accountant,,Mid,E-commerce
R_000092,CV,5,Performance Marketer,,Junior,Travel
R_000093,CV,7,Customer Success Associate,,Junior,E-commerce
R_000094,CV,6,Program Coordinator,,Mid,Retail
R_000095,CV,0,Software Engineer,,Junior,FinTech
R_000096,CV,7,Technical Support Specialist,,Senior,Gaming
R_000097,CV,4,Account Executive,,Senior,Travel
R_000098,CV,1,Financial Analyst,,Senior,E-commerce
R_000099,CV,5,Performance Marketer,,Mid,Healthcare
R_000100,CV,1,FP&A Analyst,,Mid,Retail
R_000101,CV,1,Junior Accountant,,Junior,Cybersecurity
R_000102,CV,1,FP&A Analyst,,Senior,EdTech
R_000103,CV,7,Customer Support Specialist,,Senior,Logistics
R_000104,CV,0,Software Engineer,,Junior,E-commerce
R_000105,CV,1,Financial Analyst,,Senior,Cybersecurity
R_000106,CV,2,Technical Product Manager,,Junior,Travel
R_000107,CV,7,Customer Success Associate,,Junior,Retail
R_000108,CV,3,Business Analyst,,Junior,Logistics
R_000109,CV,0,Backend Engineer,,Senior,Retail
R_000110,CV,1,Junior Accountant,,Senior,Retail
R_000111,CV,4,Sales Representative,,Mid,FinTech
R_000112,CV,7,Customer Support Specialist,,Senior,Logistics
R_000113,CV,7,Customer Support Specialist,,Mid,E-commerce
R_000114,CV,5,Performance Marketer,,Senior,Retail
R_000115,CV,0,Backend Engineer,,Mid,Cybersecurity
R_000116,CV,5,Performance Marketer,,Junior,E-commerce
R_000117,CV,0,Full Stack Engineer,,Senior,Healthcare
R_000118,CV,7,Technical Support Specialist,,Senior,SaaS
R_000119,CV,5,Marketing Manager,,Junior,EdTech
R_000120,CV,4,Sales Representative,,Senior,Gaming
R_000121,CV,3,BI Analyst,,Mid,Travel
R_000122,CV,2,Technical Product Manager,,Mid,SaaS
R_000123,CV,2,Product Manager,,Senior,Travel
R_000124,CV,2,Technical Product Manager,,Mid,FinTech
R_000125,CV,1,FP&A Analyst,,Senior,Healthcare
R_000126,CV,6,Program Coordinator,,Mid,Logistics
R_000127,CV,5,Content Marketer,,Junior,EdTech
R_000128,CV,6,Operations Manager,,Mid,Travel
R_000129,CV,6,Project Manager,,Mid,Retail
R_000130,CV,1,Financial Analyst,,Junior,Travel
R_000131,CV,2,Associate Product Manager,,Junior,Logistics
R_000132,CV,7,Customer Support Specialist,,Junior,Cybersecurity
R_000133,CV,7,Customer Success Associate,,Junior,Logistics
R_000134,CV,6,Program Coordinator,,Junior,SaaS
R_000135,CV,0,Full Stack Engineer,,Mid,FinTech
R_000136,CV,4,Sales Representative,,Junior,Healthcare
R_000137,CV,3,Business Analyst,,Mid,Gaming
R_000138,CV,1,Junior Accountant,,Mid,EdTech
R_000139,CV,3,BI Analyst,,Junior,EdTech
R_000140,CV,7,Customer Support Specialist,,Senior,Cybersecurity
R_000141,CV,4,Sales Representative,,Mid,Retail
R_000142,CV,1,Junior Accountant,,Mid,Retail
R_000143,CV,7,Customer Support Specialist,,Mid,Logistics
R_000144,CV,0,Software Engineer,,Mid,Retail
R_000145,CV,6,Program Coordinator,,Mid,Retail
R_000146,CV,0,Software Engineer,,Mid,E-commerce
R_000147,CV,6,Project Manager,,Senior,Gaming
R_000148,CV,7,Customer Support Specialist,,Senior,Travel
R_000149,CV,2,Product Manager,,Mid,Gaming
R_000150,CV,3,Data Analyst,,Senior,SaaS
R_000151,CV,4,Sales Representative,,Junior,Cybersecurity
R_000152,CV,5,Performance Marketer,,Senior,EdTech
R_000153,CV,0,Backend Engineer,,Junior,Gaming
R_000154,CV,4,Sales Representative,,Senior,EdTech
R_000155,CV,0,Full Stack Engineer,,Senior,SaaS
R_000156,CV,2,Product Manager,,Senior,Gaming
R_000157,CV,1,Junior Accountant,,Junior,FinTech
R_000158,CV,3,Data Analyst,,Senior,Cybersecurity
R_000159,CV,6,Program Coordinator,,Mid,SaaS
R_000160,CV,2,Associate Product Manager,,Senior,Cybersecurity
R_000161,CV,2,Associate Product Manager,,Senior,EdTech
R_000162,CV,7,Customer Success Associate,,Senior,Gaming
R_000163,CV,6,Program Coordinator,,Senior,EdTech
R_000164,CV,6,Operations Manager,,Mid,Cybersecurity
R_000165,CV,0,Backend Engineer,,Senior,EdTech
R_000166,CV,3,BI Analyst,,Mid,EdTech
R_000167,CV,5,Content Marketer,,Junior,Travel
R_000168,CV,4,Sales Representative,,Junior,EdTech
R_000169,CV,0,Backend Engineer,,Mid,Logistics
R_000170,CV,6,Operations Manager,,Senior,Logistics
R_000171,CV,4,Sales Representative,,Junior,Cybersecurity
R_000172,CV,2,Technical Product Manager,,Mid,EdTech
R_000173,CV,2,Product Manager,,Senior,Cybersecurity
R_000174,CV,4,Business Development Manager,,Senior,Healthcare
R_000175,CV,2,Technical Product Manager,,Senior,Retail
R_000176,CV,1,Junior Accountant,,Mid,E-commerce
R_000177,CV,1,Junior Accountant,,Junior,SaaS
R_000178,CV,2,Associate Product Manager,,Mid,Healthcare
R_000179,CV,3,Business Analyst,,Mid,Healthcare
R_000180,CV,6,Program Coordinator,,Senior,Gaming
R_000181,CV,1,Junior Accountant,,Mid,Healthcare
R_000182,CV,5,Performance Marketer,,Mid,SaaS
R_000183,CV,4,Sales Representative,,Senior,E-commerce
R_000184,CV,3,BI Analyst,,Mid,Travel
R_000185,CV,3,Data Analyst,,Junior,E-commerce
R_000186,CV,0,Full Stack Engineer,,Junior,Logistics
R_000187,CV,3,Data Analyst,,Senior,FinTech
R_000188,CV,1,FP&A Analyst,,Junior,Gaming
R_000189,CV,5,Marketing Manager,,Junior,Gaming
R_000190,CV,4,Sales Representative,,Senior,Travel
R_000191,CV,7,Customer Success Associate,,Senior,Cybersecurity
R_000192,CV,4,Account Executive,,Senior,Logistics
R_000193,CV,6,Operations Manager,,Senior,Cybersecurity
R_000194,CV,2,Product Manager,,Senior,Gaming
R_000195,CV,6,Operations Manager,,Senior,FinTech
R_000196,CV,3,Data Analyst,,Senior,FinTech
R_000197,CV,3,Business Analyst,,Junior,Healthcare
R_000198,CV,0,Full Stack Engineer,,Junior,FinTech
R_000199,CV,5,Content Marketer,,Mid,Cybersecurity
R_000200,CV,3,BI Analyst,,Senior,Travel
R_000201,CV,6,Program Coordinator,,Mid,FinTech
R_000202,CV,3,BI Analyst,,Senior,Retail
R_000203,CV,3,Data Analyst,,Senior,EdTech
R_000204,CV,3,Business Analyst,,Mid,Cybersecurity
R_000205,CV,4,Sales Representative,,Junior,E-commerce
R_000206,CV,2,Associate Product Manager,,Mid,Gaming
R_000207,CV,1,Financial Analyst,,Junior,E-commerce
R_000208,CV,7,Customer Success Associate,,Junior,Travel
R_000209,CV,7,Technical Support Specialist,,Junior,EdTech
R_000210,CV,1,FP&A Analyst,,Junior,Gaming
R_000211,CV,5,Content Marketer,,Senior,SaaS
R_000212,CV,1,Financial Analyst,,Junior,EdTech
R_000213,CV,4,Account Executive,,Mid,SaaS
R_000214,CV,0,Software Engineer,,Mid,EdTech
R_000215,CV,1,FP&A Analyst,,Mid,E-commerce
R_000216,CV,6,Operations Manager,,Mid,Logistics
R_000217,CV,7,Customer Support Specialist,,Mid,FinTech
R_000218,CV,0,Software Engineer,,Mid,E-commerce
R_000219,CV,2,Technical Product Manager,,Junior,Gaming
R_000220,CV,2,Technical Product Manager,,Junior,Cybersecurity
R_000221,CV,1,FP&A Analyst,,Junior,Retail
R_000222,CV,2,Product Manager,,Senior,Retail
R_000223,CV,1,Financial Analyst,,Senior,Travel
R_000224,CV,5,Performance Marketer,,Senior,Retail
R_000225,CV,1,Financial Analyst,,Senior,Healthcare
R_000226,CV,5,Performance Marketer,,Senior,E-commerce
R_000227,CV,0,Full Stack Engineer,,Junior,Cybersecurity
R_000228,CV,2,Associate Product Manager,,Senior,EdTech
R_000229,CV,4,Business Development Manager,,Mid,Gaming
R_000230,CV,0,Software Engineer,,Mid,FinTech
R_000231,CV,4,Business Development Manager,,Junior,SaaS
R_000232,CV,5,Marketing Manager,,Senior,Cybersecurity
R_000233,CV,5,Content Marketer,,Mid,Logistics
R_000234,CV,2,Technical Product Manager,,Senior,EdTech
R_000235,CV,1,FP&A Analyst,,Mid,E-commerce
R_000236,CV,0,Backend Engineer,,Senior,EdTech
R_000237,CV,7,Technical Support Specialist,,Mid,Cybersecurity
R_000238,CV,3,BI Analyst,,Junior,Logistics
R_000239,CV,7,Customer Support Specialist,,Senior,Retail
R_000240,CV,4,Business Development Manager,,Junior,Healthcare
R_000241,CV,6,Project Manager,,Junior,Healthcare
R_000242,CV,6,Program Coordinator,,Senior,E-commerce
R_000243,CV,3,Business Analyst,,Mid,SaaS
R_000244,CV,1,Junior Accountant,,Mid,Cybersecurity
R_000245,CV,2,Associate Product Manager,,Junior,FinTech
R_000246,CV,0,Software Engineer,,Mid,Healthcare
R_000247,CV,3,Data Analyst,,Mid,Gaming
R_000248,CV,4,Business Development Manager,,Senior,Gaming
R_000249,CV,1,FP&A Analyst,,Senior,Retail
R_000250,CV,0,Full Stack Engineer,,Senior,Gaming
R_000251,CV,2,Associate Product Manager,,Junior,EdTech
R_000252,CV,5,Performance Marketer,,Mid,Travel
R_000253,CV,6,Operations Manager,,Senior,Gaming
R_000254,CV,5,Marketing Manager,,Junior,Retail
R_000255,CV,3,Data Analyst,,Senior,Cybersecurity
R_000256,CV,3,Business Analyst,,Junior,Retail
R_000257,CV,4,Sales Representative,,Junior,Gaming
R_000258,CV,5,Performance Marketer,,Mid,FinTech
R_000259,CV,2,Technical Product Manager,,Mid,E-commerce
R_000260,CV,3,Data Analyst,,Senior,Retail
R_000261,CV,7,Technical Support Specialist,,Senior,E-commerce
R_000262,CV,0,Full Stack Engineer,,Junior,Retail
R_000263,CV,0,Full Stack Engineer,,Senior,FinTech
R_000264,CV,0,Backend Engineer,,Mid,SaaS
R_000265,CV,1,Financial Analyst,,Senior,Gaming
R_000266,CV,5,Content Marketer,,Senior,FinTech
R_000267,CV,1,Junior Accountant,,Mid,Logistics
R_000268,CV,6,Project Manager,,Senior,Gaming
R_000269,CV,7,Technical Support Specialist,,Mid,SaaS
R_000270,CV,3,Business Analyst,,Senior,Healthcare
R_000271,CV,3,Business Analyst,,Junior,Logistics
R_000272,CV,7,Customer Success Associate,,Junior,SaaS
R_000273,CV,0,Software Engineer,,Senior,Healthcare
R_000274,CV,4,Business Development Manager,,Senior,FinTech
R_000275,CV,5,Content Marketer,,Mid,Cybersecurity
R_000276,CV,3,Business Analyst,,Junior,Cybersecurity
R_000277,CV,4,Sales Representative,,Junior,Cybersecurity
R_000278,CV,2,Associate Product Manager,,Junior,E-commerce
R_000279,CV,0,Backend Engineer,,Senior,Travel
R_000280,CV,6,Program Coordinator,,Junior,Retail
R_000281,CV,2,Technical Product Manager,,Mid,SaaS
R_000282,CV,3,Data Analyst,,Mid,Healthcare
R_000283,CV,5,Performance Marketer,,Senior,Gaming
R_000284,CV,4,Business Development Manager,,Mid,EdTech
R_000285,CV,5,Marketing Manager,,Junior,Retail
R_000286,CV,6,Operations Manager,,Junior,Cybersecurity
R_000287,CV,3,Business Analyst,,Junior,EdTech
R_000288,CV,1,Financial Analyst,,Mid,Cybersecurity
R_000289,CV,5,Marketing Manager,,Senior,Logistics
R_000290,CV,4,Account Executive,,Junior,Cybersecurity
R_000291,CV,4,Account Executive,,Mid,Logistics
R_000292,CV,0,Software Engineer,,Junior,EdTech
R_000293,CV,6,Project Manager,,Mid,Retail
R_000294,CV,0,Software Engineer,,Mid,Healthcare
R_000295,CV,1,Junior Accountant,,Mid,Gaming
R_000296,CV,7,Customer Support Specialist,,Senior,SaaS
R_000297,CV,0,Backend Engineer,,Senior,Gaming
R_000298,CV,1,Financial Analyst,,Senior,Travel
R_000299,CV,3,Data Analyst,,Junior,Healthcare
R_000300,CV,2,Technical Product Manager,,Mid,E-commerce
R_000301,CV,5,Performance Marketer,,Junior,EdTech
R_000302,CV,1,FP&A Analyst,,Mid,EdTech
R_000303,CV,4,Account Executive,,Junior,Logistics
R_000304,CV,3,BI Analyst,,Senior,Travel
R_000305,CV,0,Backend Engineer,,Junior,Gaming
R_000306,CV,0,Full Stack Engineer,,Mid,Gaming
R_000307,CV,4,Account Executive,,Junior,SaaS
R_000308,CV,2,Product Manager,,Mid,Retail
R_000309,CV,6,Operations Manager,,Mid,SaaS
R_000310,CV,0,Backend Engineer,,Mid,SaaS
R_000311,CV,7,Customer Success Associate,,Junior,FinTech
R_000312,CV,6,Operations Manager,,Senior,Logistics
R_000313,CV,7,Customer Support Specialist,,Junior,FinTech
R_000314,CV,0,Software Engineer,,Senior,Logistics
R_000315,CV,2,Product Manager,,Senior,E-commerce
R_000316,CV,0,Backend Engineer,,Senior,Healthcare
R_000317,CV,6,Project Manager,,Mid,Logistics
R_000318,CV,3,Data Analyst,,Junior,FinTech
R_000319,CV,4,Account Executive,,Senior,Cybersecurity
R_000320,CV,1,Junior Accountant,,Junior,E-commerce
R_000321,CV,3,Data Analyst,,Junior,SaaS
R_000322,CV,7,Technical Support Specialist,,Mid,Travel
R_000323,CV,4,Business Development Manager,,Junior,Cybersecurity
R_000324,CV,7,Customer Success Associate,,Junior,FinTech
R_000325,CV,2,Associate Product Manager,,Junior,Retail
R_000326,CV,0,Backend Engineer,,Senior,Healthcare
R_000327,CV,5,Marketing Manager,,Mid,Healthcare
R_000328,CV,6,Operations Manager,,Senior,Cybersecurity
R_000329,CV,0,Backend Engineer,,Junior,Travel
R_000330,CV,0,Backend Engineer,,Mid,Travel
R_000331,CV,2,Associate Product Manager,,Junior,Gaming
R_000332,CV,3,BI Analyst,,Mid,Travel
R_000333,CV,6,Program Coordinator,,Junior,Travel
R_000334,CV,2,Technical Product Manager,,Junior,E-commerce
R_000335,CV,1,Junior Accountant,,Senior,Travel
R_000336,CV,2,Technical Product Manager,,Mid,FinTech
R_000337,CV,7,Technical Support Specialist,,Senior,SaaS
R_000338,CV,3,Data Analyst,,Mid,Travel
R_000339,CV,3,BI Analyst,,Senior,EdTech
R_000340,CV,6,Program Coordinator,,Senior,Cybersecurity
R_000341,CV,0,Full Stack Engineer,,Mid,Gaming
R_000342,CV,5,Marketing Manager,,Senior,E-commerce
R_000343,CV,2,Associate Product Manager,,Senior,Gaming
R_000344,CV,1,Financial Analyst,,Mid,Healthcare
R_000345,CV,5,Content Marketer,,Mid,Cybersecurity
R_000346,CV,7,Technical Support Specialist,,Junior,Travel
R_000347,CV,6,Program Coordinator,,Senior,FinTech
R_000348,CV,0,Backend Engineer,,Junior,Cybersecurity
R_000349,CV,5,Performance Marketer,,Senior,Gaming
R_000350,CV,2,Product Manager,,Junior,Healthcare
R_000351,CV,4,Sales Representative,,Junior,SaaS
R_000352,CV,3,BI Analyst,,Mid,Gaming
R_000353,CV,0,Backend Engineer,,Senior,E-commerce
R_000354,CV,4,Sales Representative,,Junior,Travel
R_000355,CV,6,Project Manager,,Mid,SaaS
R_000356,CV,5,Marketing Manager,,Mid,Travel
R_000357,CV,0,Software Engineer,,Mid,Logistics
R_000358,CV,6,Project Manager,,Senior,EdTech
R_000359,CV,2,Technical Product Manager,,Senior,Cybersecurity
R_000360,CV,2,Associate Product Manager,,Junior,Healthcare
R_000361,CV,0,Full Stack Engineer,,Senior,EdTech
R_000362,CV,5,Marketing Manager,,Junior,SaaS
R_000363,CV,7,Customer Success Associate,,Senior,E-commerce
R_000364,CV,5,Performance Marketer,,Mid,E-commerce
R_000365,CV,6,Program Coordinator,,Mid,Logistics
R_000366,CV,5,Content Marketer,,Junior,Retail
R_000367,CV,3,Data Analyst,,Junior,SaaS
R_000368,CV,2,Product Manager,,Senior,Gaming
R_000369,CV,3,BI Analyst,,Junior,FinTech
R_000370,CV,2,Associate Product Manager,,Junior,Gaming
R_000371,CV,1,Junior Accountant,,Senior,FinTech
R_000372,CV,1,FP&A Analyst,,Senior,Travel
R_000373,CV,3,Data Analyst,,Mid,FinTech
R_000374,CV,0,Software Engineer,,Mid,Travel
R_000375,CV,1,Financial Analyst,,Junior,EdTech
R_000376,CV,5,Performance Marketer,,Junior,Travel
R_000377,CV,3,BI Analyst,,Mid,Retail
R_000378,CV,4,Business Development Manager,,Senior,FinTech
R_000379,CV,2,Technical Product Manager,,Mid,Logistics
R_000380,CV,3,Data Analyst,,Senior,Gaming
R_000381,CV,4,Sales Representative,,Junior,Travel
R_000382,CV,5,Content Marketer,,Junior,FinTech
R_000383,CV,7,Customer Support Specialist,,Senior,FinTech
R_000384,CV,4,Account Executive,,Junior,Travel
R_000385,CV,2,Product Manager,,Senior,Retail
R_000386,CV,6,Program Coordinator,,Junior,Gaming
R_000387,CV,7,Technical Support Specialist,,Senior,SaaS
R_000388,CV,6,Operations Manager,,Senior,Gaming
R_000389,CV,6,Project Manager,,Senior,FinTech
R_000390,CV,3,BI Analyst,,Junior,Retail
R_000391,CV,0,Backend Engineer,,Mid,Travel
R_000392,CV,4,Sales Representative,,Senior,EdTech
R_000393,CV,5,Performance Marketer,,Mid,Travel
R_000394,CV,7,Technical Support Specialist,,Junior,Logistics
R_000395,CV,1,Financial Analyst,,Mid,Cybersecurity
R_000396,CV,5,Content Marketer,,Mid,Logistics
R_000397,CV,2,Product Manager,,Senior,SaaS
R_000398,CV,3,Data Analyst,,Senior,Cybersecurity
R_000399,CV,7,Technical Support Specialist,,Mid,Gaming
R_000400,CV,4,Business Development Manager,,Mid,SaaS
R_000401,CV,2,Technical Product Manager,,Senior,Logistics
R_000402,CV,1,Junior Accountant,,Senior,Gaming
R_000403,CV,4,Account Executive,,Mid,Gaming
R_000404,CV,5,Marketing Manager,,Mid,EdTech
R_000405,CV,7,Technical Support Specialist,,Mid,SaaS
R_000406,CV,4,Sales Representative,,Junior,Gaming
R_000407,CV,2,Associate Product Manager,,Mid,Logistics
R_000408,CV,5,Performance Marketer,,Junior,Healthcare
R_000409,CV,0,Software Engineer,,Senior,Retail
R_000410,CV,7,Customer Support Specialist,,Junior,EdTech
R_000411,CV,0,Backend Engineer,,Junior,FinTech
R_000412,CV,3,BI Analyst,,Senior,Logistics
R_000413,CV,2,Associate Product Manager,,Junior,Healthcare
R_000414,CV,2,Associate Product Manager,,Junior,Travel
R_000415,CV,7,Customer Success Associate,,Junior,FinTech
R_000416,CV,7,Customer Success Associate,,Junior,Gaming
R_000417,CV,0,Software Engineer,,Mid,Healthcare
R_000418,CV,7,Customer Success Associate,,Senior,Cybersecurity
R_000419,CV,6,Program Coordinator,,Junior,FinTech
R_000420,CV,1,Financial Analyst,,Junior,Gaming
R_000421,CV,5,Content Marketer,,Senior,SaaS
R_000422,CV,1,Junior Accountant,,Junior,Travel
R_000423,CV,7,Customer Success Associate,,Mid,Retail
R_000424,CV,0,Software Engineer,,Junior,Gaming
R_000425,CV,1,Junior Accountant,,Mid,SaaS
R_000426,CV,6,Project Manager,,Mid,Gaming
R_000427,CV,7,Technical Support Specialist,,Mid,Retail
R_000428,CV,7,Customer Success Associate,,Junior,Travel
R_000429,CV,5,Performance Marketer,,Senior,EdTech
R_000430,CV,7,Technical Support Specialist,,Mid,Retail
R_000431,CV,3,BI Analyst,,Junior,EdTech
R_000432,CV,3,Business Analyst,,Junior,Cybersecurity
R_000433,CV,6,Program Coordinator,,Junior,Logistics
R_000434,CV,3,Data Analyst,,Junior,Cybersecurity
R_000435,CV,2,Technical Product Manager,,Junior,E-commerce
R_000436,CV,3,Data Analyst,,Senior,SaaS
R_000437,CV,4,Sales Representative,,Mid,E-commerce
R_000438,CV,4,Account Executive,,Mid,FinTech
R_000439,CV,7,Customer Support Specialist,,Senior,Gaming
R_000440,CV,5,Marketing Manager,,Senior,Gaming
R_000441,CV,4,Business Development Manager,,Mid,Travel
R_000442,CV,2,Technical Product Manager,,Senior,FinTech
R_000443,CV,1,Junior Accountant,,Senior,Gaming
R_000444,CV,5,Content Marketer,,Junior,Healthcare
R_000445,CV,3,Business Analyst,,Junior,Logistics
R_000446,CV,2,Technical Product Manager,,Senior,Logistics
R_000447,CV,7,Customer Support Specialist,,Mid,Logistics
R_000448,CV,6,Operations Manager,,Junior,Healthcare
R_000449,CV,5,Marketing Manager,,Mid,FinTech
R_000450,CV,4,Account Executive,,Junior,Healthcare
R_000451,CV,5,Marketing Manager,,Junior,Logistics
R_000452,CV,6,Program Coordinator,,Mid,Logistics
R_000453,CV,5,Performance Marketer,,Mid,FinTech
R_000454,CV,1,Junior Accountant,,Mid,Retail
R_000455,CV,3,BI Analyst,,Junior,Logistics
R_000456,CV,4,Account Executive,,Junior,FinTech
R_000457,CV,0,Backend Engineer,,Junior,SaaS
R_000458,CV,4,Business Development Manager,,Senior,Travel
R_000459,CV,2,Associate Product Manager,,Senior,Travel
R_000460,CV,7,Customer Support Specialist,,Junior,EdTech
R_000461,CV,7,Technical Support Specialist,,Mid,E-commerce
R_000462,CV,1,Junior Accountant,,Junior,EdTech
R_000463,CV,6,Operations Manager,,Junior,EdTech
R_000464,CV,7,Customer Success Associate,,Mid,Gaming
R_000465,CV,5,Content Marketer,,Junior,Travel
R_000466,CV,3,Data Analyst,,Senior,Gaming
R_000467,CV,0,Backend Engineer,,Senior,Travel
R_000468,CV,5,Performance Marketer,,Mid,Gaming
R_000469,CV,4,Account Executive,,Junior,E-commerce
R_000470,CV,2,Product Manager,,Senior,FinTech
R_000471,CV,6,Project Manager,,Senior,Gaming
R_000472,CV,0,Software Engineer,,Mid,FinTech
R_000473,CV,0,Backend Engineer,,Mid,FinTech
R_000474,CV,0,Full Stack Engineer,,Senior,EdTech
R_000475,CV,3,BI Analyst,,Mid,Healthcare
R_000476,CV,7,Customer Support Specialist,,Junior,EdTech
R_000477,CV,4,Business Development Manager,,Mid,Logistics
R_000478,CV,0,Backend Engineer,,Junior,SaaS
R_000479,CV,4,Sales Representative,,Junior,Travel
R_000480,CV,6,Project Manager,,Senior,E-commerce
R_000481,CV,6,Operations Manager,,Mid,Retail
R_000482,CV,0,Full Stack Engineer,,Junior,Travel
R_000483,CV,1,FP&A Analyst,,Mid,FinTech
R_000484,CV,0,Software Engineer,,Junior,Travel
R_000485,CV,3,Data Analyst,,Senior,SaaS
R_000486,CV,6,Program Coordinator,,Mid,Retail
R_000487,CV,6,Operations Manager,,Junior,Cybersecurity
R_000488,CV,4,Business Development Manager,,Senior,EdTech
R_000489,CV,1,Junior Accountant,,Mid,E-commerce
R_000490,CV,3,BI Analyst,,Senior,Retail
R_000491,CV,2,Associate Product Manager,,Junior,Cybersecurity
R_000492,CV,0,Software Engineer,,Senior,E-commerce
R_000493,CV,4,Account Executive,,Junior,Travel
R_000494,CV,4,Account Executive,,Mid,FinTech
